REGION,DISTRICT,VILLAGE,LATITUDE,LONGITUDE
HIRAAN,BELET WEYNE,SHABEELOW,4.7155233333,45.2158250000
HIRAAN,BELET WEYNE,SHABEELOW,4.7156016667,45.2158666667
HIRAAN,BELET WEYNE,SHABEELOW,4.7157733333,45.2161583333
HIRAAN,BELET WEYNE,SHABEELOW,4.7158633333,45.2156250000
HIRAAN,BELET WEYNE,SHABEELOW,4.7158750000,45.2156266667
HIRAAN,BELET WEYNE,SHABEELOW,4.7158766667,45.2163500000
HIRAAN,BELET WEYNE,SHABEELOW,4.7159333333,45.2156833333
HIRAAN,BELET WEYNE,SHABEELOW,4.7159550000,45.2159916667
HIRAAN,BELET WEYNE,SHABEELOW,4.7161316667,45.2154283333
HIRAAN,BELET WEYNE,SHABELOOW,4.7167916667,45.2141750000
HIRAAN,BELET WEYNE,SHABELOOW,4.7173800000,45.2124900000
HIRAAN,BELET WEYNE,SHABELOW,4.7174733333,45.2126516667
HIRAAN,BELET WEYNE,SHABELOW,4.7175016667,45.2124516667
HIRAAN,BELET WEYNE,SHABELOW,4.7178616667,45.2118583333
HIRAAN,BELET WEYNE,DONSUBUGLE2,4.7211266667,45.2021300000
HIRAAN,BELET WEYNE,DONSUBAGLE3,4.7211783333,45.2065983333
HIRAAN,BELET WEYNE,DONSUBAGLE3,4.7212083333,45.2067366667
HIRAAN,BELET WEYNE,DONSUBAGLE3,4.7212450000,45.2067616667
HIRAAN,BELET WEYNE,DONSUBUGLE2,4.7212550000,45.2018516667
HIRAAN,BELET WEYNE,DONSUBAGLE2,4.7212683333,45.2024050000
HIRAAN,BELET WEYNE,DONSUBAGLE2,4.7212683333,45.2022116667
HIRAAN,BELET WEYNE,DONSUBAGLE2,4.7212766667,45.2021933333
HIRAAN,BELET WEYNE,DONSUBAGLE3,4.7212800000,45.2067266667
HIRAAN,BELET WEYNE,DONSUBAGLE3,4.7212916667,45.2066683333
HIRAAN,BELET WEYNE,DONSUBUGLE2,4.7212966667,45.2019783333
HIRAAN,BELET WEYNE,DONSUBAGL3,4.7213183333,45.2067366667
HIRAAN,BELET WEYNE,DONSUBAGLE3,4.7213233333,45.2065766667
HIRAAN,BELET WEYNE,DONSUBAGLE3,4.7213333333,45.2066616667
HIRAAN,BELET WEYNE,DONSUBUGLE2,4.7213516667,45.2022533333
HIRAAN,BELET WEYNE,DONSUBAGLE3,4.7213783333,45.2067300000
HIRAAN,BELET WEYNE,DOONSUBAGLE3,4.7213800000,45.2065450000
HIRAAN,BELET WEYNE,DONSUBAGLE3,4.7213900000,45.2066933333
HIRAAN,BELET WEYNE,DONSUBAGLE3,4.7213983333,45.2067083333
HIRAAN,BELET WEYNE,DONSUBAGLE3,4.7214000000,45.2065966667
HIRAAN,BELET WEYNE,DONSUBAGLE3,4.7214016667,45.2067116667
HIRAAN,BELET WEYNE,DONSUBAGLE2,4.7214066667,45.2018066667
HIRAAN,BELET WEYNE,DONSUBUGLE2,4.7214216667,45.2020766667
HIRAAN,BELET WEYNE,DONSUBAGLE3,4.7214400000,45.2066233333
HIRAAN,BELET WEYNE,DONSUBAGLE3,4.7214450000,45.2066683333
HIRAAN,BELET WEYNE,DONSUBAGLE3,4.7214600000,45.2067766667
HIRAAN,BELET WEYNE,DONSUBAGLE2,4.7214733333,45.2023750000
HIRAAN,BELET WEYNE,DONSUBUGLE2,4.7214850000,45.2020083333
HIRAAN,BELET WEYNE,DONSUBAGLE2,4.7215033333,45.2022850000
HIRAAN,BELET WEYNE,DONSUBUGLE2,4.7215100000,45.2022250000
HIRAAN,BELET WEYNE,DONSUBAGLE3,4.7215150000,45.2065183333
HIRAAN,BELET WEYNE,DONSUBAGLE3,4.7215366667,45.2066116667
HIRAAN,BELET WEYNE,DONSUBAGLE3,4.7215800000,45.2066233333
HIRAAN,BELET WEYNE,DONSUBUGLE2,4.7215983333,45.2020100000
HIRAAN,BELET WEYNE,DONSUBUGLE2,4.7216116667,45.2021800000
HIRAAN,BELET WEYNE,DOBSUBAGLE,4.7216750000,45.2019933333
HIRAAN,BELET WEYNE,DONSUBUGLE2,4.7217116667,45.2021350000
HIRAAN,BELET WEYNE,DONSUBAGLE2,4.7217316667,45.2021583333
HIRAAN,BELET WEYNE,DONSUBAGLE2,4.7217383333,45.2020216667
HIRAAN,BELET WEYNE,DONSUBAGLE,4.7239366667,45.2039233333
HIRAAN,BELET WEYNE,DOONSUBUGLE,4.7239816667,45.2040666667
HIRAAN,BELET WEYNE,DOONSUBUGLE,4.7240183333,45.2041933333
HIRAAN,BELET WEYNE,HEEGAN 4,4.7241483333,45.1920400000
HIRAAN,BELET WEYNE,DONSUBAGLE,4.7242816667,45.2044066667
HIRAAN,BELET WEYNE,HEEGAN 4,4.7243900000,45.1919933333
HIRAAN,BELET WEYNE,DONSUBAGLE,4.7244933333,45.2044633333
HIRAAN,BELET WEYNE,DONSUBAGLE,4.7245033333,45.2031316667
HIRAAN,BELET WEYNE,DONSUBAGLE,4.7245233333,45.2038416667
HIRAAN,BELET WEYNE,DONSUBAGLE,4.7245750000,45.2046783333
HIRAAN,BELET WEYNE,DOONSUBUGLE,4.7245783333,45.2037466667
HIRAAN,BELET WEYNE,DONSUBAGLE,4.7245866667,45.2035900000
